Customer ID	cluster_label
4526-ZJJTM	1
5302-BDJNT	2
5468-BPMMO	1
2212-LYASK	1
0378-XSZPU	0
6023-YEBUP	0
7030-NJVDP	0
7549-MYGPK	2
2469-DTSGX	2
3090-LETTY	0
6486-LHTMA	1
9799-CAYJJ	1
7690-KPNCU	2
9576-ANLXO	0
1089-HDMKP	1
1092-GANHU	0
2931-VUVJN	2
2077-DDHJK	2
9114-DPSIA	2
3494-JCHRQ	0
2277-AXSDC	1
1928-BXYIV	1
7326-RIGQZ	1
8634-MPHTR	2
0064-SUDOG	1
6972-SNKKW	1
3877-JRJIP	0
7409-KIUTL	0
3951-NJCVI	2
8285-ABVLB	1
0637-KVDLV	0
0260-ZDLGK	0
1548-ARAGG	1
1987-AUELQ	1
2684-EIWEO	0
1027-LKKQQ	2
3717-OEAUQ	1
7033-CLAMM	1
1143-NMNQJ	0
6839-ITVZJ	0
8082-GHXOP	1
3569-VLDHH	2
3061-BCKYI	1
6424-ELEYH	0
9018-PCIOK	2
3256-EZDBI	1
3249-VHRIP	1
2921-XWDJH	0
5456-ITGIC	2
7971-HLVXI	2
3662-FXJFO	1
7779-LGOVN	0
2480-EJWYP	2
7544-ZVIKX	2
6257-RJOHI	1
2011-TRQYE	0
5789-LDFXO	1
6352-GIGGQ	2
6807-SIWJI	2
0426-TIRNE	0
4291-TPNFG	2
3746-EUBYR	0
9362-MWODR	0
7321-ZNSLA	1
0565-JUPYD	2
8336-TAVKX	2
3086-RUCRN	2
3745-HRPHI	1
9928-BZVLZ	1
0674-GCDXG	2
9027-TMATR	2
4910-AQFFX	0
3736-BLEPA	1
9220-CXRSC	2
2452-KDRRH	2
7471-WNSUF	1
9992-UJOEL	1
5204-QZXPU	0
9481-SFCQY	1
1247-QBVSH	1
6478-HRRCZ	1
9838-BFCQT	1
7268-IGMFD	1
0750-EBAIU	2
0428-AXXLJ	1
5820-PTRYM	2
3234-VKACU	1
5309-TAIKL	1
6834-NXDCA	0
4622-YNKIJ	2
1169-SAOCL	2
9391-EOYLI	0
0330-BGYZE	2
5067-WJEUN	2
8329-UTMVM	1
9448-REEVD	0
3411-WLRSQ	1
5131-PONJI	2
3312-ZWLGF	1
4079-VTGLK	1
7858-GTZSP	0
2639-UGMAZ	2
2750-BJLSB	2
1732-FEKLD	2
4659-NZRUF	0
4013-GUXND	1
7668-XCFYV	1
8651-ENBZX	2
6981-TDRFT	1
7765-LWVVH	2
7696-CFTAT	1
4611-ANLQC	1
7129-CAKJW	1
2397-BRLOM	0
3197-NNYNB	2
0139-IVFJG	1
5167-GBFRE	0
3070-DVEYC	0
0396-HUJBP	1
0813-TAXXS	2
0811-GSDTP	1
9522-BNTHX	1
9242-TKFSV	2
8993-PHFWD	0
6481-LXPWL	1
0547-HURJB	1
4361-BKAXE	0
5240-CAOYT	2
3714-XPXBW	1
6599-CEBNN	0
9488-FYQAU	2
8914-RBTSB	0
1963-VAUKV	0
7217-JYHOQ	1
